X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
HLA-DRA,8.77093165257212e-97,-0.660102682602979,0.238,0.215,2.64592695163143e-92
CLIC1,5.7427122510394e-87,-0.296726377524134,0.445,0.565,1.73240400477106e-82
SLC35F1,5.40891738152422e-82,-0.255110116866901,0.069,0.139,1.63170810648441e-77
PZP,2.05415463329137e-71,-0.287856005740197,0.138,0.221,6.19676828225009e-67
A2M,5.21201848883471e-65,-0.288779915265796,0.164,0.247,1.57230961752677e-60
HLA-DRB1,7.80975839250893e-57,-0.588710950817988,0.197,0.22,2.35596981426817e-52
HOPX,6.01764827897832e-55,-0.294721915706361,0.164,0.241,1.81534395631939e-50
GZMA,4.7738832135276e-48,-0.326249679128896,0.252,0.332,1.44013734902487e-43
S100A4,4.31813831051351e-46,-0.25946426291775,0.664,0.719,1.30265278413261e-41
KLRB1,7.74334974416859e-43,-0.385626921774888,0.284,0.353,2.33593631732334e-38
IGKC,2.82409822591233e-39,-0.375355432389335,0.12,0.139,8.51945711810973e-35
TRDC,5.0085499289458e-39,-0.326463739475378,0.113,0.167,1.51092925706508e-34
NKG7,2.48951116240648e-34,-0.344934831010889,0.306,0.366,7.51010832363164e-30
HLA-DPA1,1.92326863756222e-28,-0.43077083923954,0.236,0.286,5.80192449893395e-24
HLA-DPB1,2.13537464035482e-25,-0.424686594664517,0.267,0.316,6.44178467755839e-21
FCER1G,5.67218934068165e-25,-0.270056426151715,0.147,0.171,1.71112935840343e-20
HLA-DQB1,7.91368966482232e-20,-0.280074428435604,0.103,0.132,2.38732276118695e-15
GNLY,1.86122756589163e-17,-0.360210240357999,0.255,0.28,5.61476519802529e-13
CD74,7.46888141802509e-10,-0.701378133162567,0.614,0.633,2.25313745737563e-5
