Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043370)	3/11	1.1188620867663453E-6	3.179429668691059E-4	0	0	207.84375	2848.1241389348643	HLA-DRA;HLA-DRB1;RUNX1
MHC Class II Protein Complex Assembly (GO:0002399)	3/14	2.4583219087817467E-6	3.179429668691059E-4	0	0	151.13636363636363	1952.0820473808014	HLA-DRA;HLA-DRB1;HLA-DPA1
Peptide Antigen Assembly With MHC Class II Protein Complex (GO:0002503)	3/14	2.4583219087817467E-6	3.179429668691059E-4	0	0	151.13636363636363	1952.0820473808014	HLA-DRA;HLA-DRB1;HLA-DPA1
Peptide Antigen Assembly With MHC Protein Complex (GO:0002501)	3/18	5.4813305486206335E-6	4.203534231904908E-4	0	0	110.81111111111112	1342.383827375702	HLA-DRA;HLA-DRB1;HLA-DPA1
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	5/134	6.005774977638301E-6	4.203534231904908E-4	0	0	22.60829913360693	271.8148113839633	CD79B;IGKC;THEMIS;HLA-DRB1;HLA-DPA1
Immunoglobulin Production Involved In Immunoglobulin-Mediated Immune Response (GO:0002381)	3/19	6.5003106678941865E-6	4.203534231904908E-4	0	0	103.88020833333333	1240.7099500551603	HLA-DRA;HLA-DRB1;HLA-DPA1
Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886)	3/26	1.727765251504348E-5	9.576755965481243E-4	0	0	72.23913043478261	792.1812865227807	HLA-DRA;HLA-DRB1;HLA-DPA1
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495)	3/28	2.171121485754607E-5	0.0010529939205909844	0	0	66.45333333333333	713.554735735547	HLA-DRA;HLA-DRB1;HLA-DPA1
Immunoglobulin Mediated Immune Response (GO:0016064)	3/30	2.6834600718005935E-5	0.001151184613622157	0	0	61.52469135802469	647.5977302945712	HLA-DRA;HLA-DRB1;HLA-DPA1
Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478)	3/31	2.9669706536653534E-5	0.001151184613622157	0	0	59.32440476190476	618.4797010817292	HLA-DRA;HLA-DRB1;HLA-DPA1
Positive Regulation Of Granulocyte Differentiation (GO:0030854)	2/5	3.691309211142404E-5	0.0011935233116027108	0	0	359.60360360360363	3670.4539413007556	LEF1;RUNX1
Positive Regulation Of CD4-positive, CD25-positive, Alpha-Beta Regulatory T Cell Differentiation (GO:0032831)	2/5	3.691309211142404E-5	0.0011935233116027108	0	0	359.60360360360363	3670.4539413007556	HLA-DRA;HLA-DRB1
Regulation Of T-helper Cell Differentiation (GO:0045622)	2/6	5.53015772757396E-5	0.0016505393833066897	0	0	269.68918918918916	2643.6846765007986	HLA-DRA;HLA-DRB1
Positive Regulation Of Myeloid Leukocyte Differentiation (GO:0002763)	3/40	6.442749129145759E-5	0.0017855619015061104	0	0	44.873873873873876	433.0315426140274	LEF1;HLA-DRB1;RUNX1
Positive Regulation Of CD4-positive, Alpha-Beta T Cell Differentiation (GO:0043372)	2/7	7.732699148752035E-5	0.0018751795435723686	0	0	215.74054054054054	2042.516552754333	HLA-DRA;HLA-DRB1
Regulation Of CD4-positive, Alpha-Beta T Cell Activation (GO:2000514)	2/7	7.732699148752035E-5	0.0018751795435723686	0	0	215.74054054054054	2042.516552754333	HLA-DRA;HLA-DRB1
Positive Regulation Of Leukocyte Cell-Cell Adhesion (GO:1903039)	3/44	8.589977715778936E-5	0.0019605360904248396	0	0	40.48780487804878	379.0601628410452	HLA-DRA;HLA-DRB1;HLA-DPA1
