Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of Translation (GO:0006417)	8/202	8.908609693701006E-7	7.375992903869279E-4	0	0	12.144022157254962	169.17931335495683	RPS4X;DHFR;CSDE1;EIF4H;EEF2;BZW1;EIF1B;GAPDH
Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	8/231	2.432331787190808E-6	7.375992903869279E-4	0	0	10.549226959373536	136.36627203926327	CYLD;PER1;STAT1;PDE3B;RHOH;TANK;ARHGAP25;HERPUD1
Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043122)	8/232	2.5116888435423195E-6	7.375992903869279E-4	0	0	10.501599147121535	135.41344973380313	PER1;STAT1;PELI1;RHOH;DDX21;CCR7;GAPDH;TANK
Regulation Of p38MAPK Cascade (GO:1900744)	4/37	1.0966140199944934E-5	0.0024152923790378717	0	0	33.95988049509176	387.8455459099789	CYLD;PER1;GADD45B;RASGRP1
Negative Regulation Of I-kappaB kinase/NF-kappaB Signaling (GO:0043124)	4/42	1.8323259063195108E-5	0.003228558246934978	0	0	29.484062268346925	321.592671636182	PER1;STAT1;RHOH;TANK
Positive Regulation Of Cytokine Production (GO:0001819)	8/320	2.6170276457356565E-5	0.0034861242995610922	0	0	7.505931879066208	79.1942336632482	IRF1;RFTN1;PDE4B;CCR7;GAPDH;TANK;HIF1A;RASGRP1
Translation (GO:0006412)	7/234	2.76990579987828E-5	0.0034861242995610922	0	0	8.932754599637212	93.74132860036612	RPL4;RPS4X;EEF1A1;RPL7A;EEF2;MRPL54;ZC3H15
Regulation Of JNK Cascade (GO:0046328)	5/110	5.835422684414432E-5	0.006426259231211394	0	0	13.482993197278912	131.4454143334107	CYLD;PER1;GADD45B;CCR7;RASGRP1
Regulation Of Type I Interferon Production (GO:0032479)	4/59	7.100163440470854E-5	0.006950271101172025	0	0	20.353393085787452	194.43204940546295	CYLD;IRF1;GAPDH;TANK
Stress Granule Assembly (GO:0034063)	3/24	9.6862754847748E-5	0.00762375226735245	0	0	39.492063492063494	364.99416053763736	DAZAP2;CSDE1;PRRC2C
Positive Regulation Of Type I Interferon Production (GO:0032481)	4/64	9.772818565383555E-5	0.00762375226735245	0	0	18.652582159624412	172.22527014022268	STAT1;IRF1;GAPDH;TANK
Regulation Of Translational Initiation (GO:0006446)	4/65	1.0384225562795618E-4	0.00762375226735245	0	0	18.345878549988456	168.28009508252745	CSDE1;EIF4H;BZW1;EIF1B
