Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Regulation Of Cell Cycle (GO:0051726)	5/298	1.9171637504439195E-5	0.005120869378922002	0	0	18.661357603337127	202.70113277896883	JUN;GADD45B;IRF1;JUNB;ACTB
Regulation Of Endothelial Cell Differentiation (GO:0045601)	2/8	3.527148905869445E-5	0.005120869378922002	0	0	317.0	3250.0220838564323	BTG1;ZEB1
Type II Interferon-Mediated Signaling Pathway (GO:0060333)	2/9	4.531742813205312E-5	0.005120869378922002	0	0	271.70068027210885	2717.5009916130916	STAT1;IRF1
Negative Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902236)	2/15	1.316231259729039E-4	0.011155059926203607	0	0	146.25641025641025	1306.8840737214405	PTPN1;HERPUD1
Regulation Of Cell Population Proliferation (GO:0042127)	6/766	1.785959996550861E-4	0.012108808776614837	0	0	8.924303405572756	77.02016789387542	JUN;BTG1;STAT1;IRF1;JUNB;ACTB
Regulation Of Transcription By RNA Polymerase II (GO:0006357)	9/2028	2.4230393424125023E-4	0.012659853456016968	0	0	5.717894289959669	47.60328650008828	JUN;ZEB1;STAT1;NCOA3;IRF1;JUNB;ACTB;BACH2;IER2
Cellular Response To Interferon-Beta (GO:0035458)	2/22	2.881577630424514E-4	0.012659853456016968	0	0	95.03333333333333	774.7119651640849	STAT1;IRF1
Regulation Of Endoplasmic Reticulum Stress-Induced Intrinsic Apoptotic Signaling Pathway (GO:1902235)	2/24	3.4381145881898543E-4	0.012659853456016968	0	0	86.38528138528139	688.9586534300897	PTPN1;HERPUD1
Positive Regulation Of DNA-templated Transcription (GO:0045893)	7/1243	3.571862676991328E-4	0.012659853456016968	0	0	6.633646844660194	52.65293434025001	JUN;STAT1;NCOA3;IRF1;JUNB;ACTB;IER2
Negative Regulation Of Response To Endoplasmic Reticulum Stress (GO:1903573)	2/25	3.7344700460227045E-4	0.012659853456016968	0	0	82.62525879917185	652.1392267357223	PTPN1;HERPUD1
Response To Interferon-Beta (GO:0035456)	2/29	5.039873444597456E-4	0.013861463422116325	0	0	70.37037037037037	534.3193652138322	STAT1;IRF1
Integrated Stress Response Signaling (GO:0140467)	2/29	5.039873444597456E-4	0.013861463422116325	0	0	70.37037037037037	534.3193652138322	JUN;JUNB
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	6/938	5.315605442109505E-4	0.013861463422116325	0	0	7.212193890431709	54.37773106972845	JUN;STAT1;NCOA3;IRF1;JUNB;IER2
Regulation Of Intracellular Protein Transport (GO:0033157)	2/36	7.782330418291474E-4	0.01884435722714864	0	0	55.86274509803921	399.8925970911249	PTPN1;VAMP2
Regulation Of DNA-templated Transcription (GO:0006355)	8/1922	9.37982970804469E-4	0.021198415140181	0	0	5.033228840125392	35.09055794151338	JUN;BTG1;ZEB1;STAT1;IRF1;JUNB;ACTB;BACH2
Response To Unfolded Protein (GO:0006986)	2/44	0.001162071491037059	0.02462138971634769	0	0	45.204081632653065	305.46889148513117	PTPN1;HERPUD1
Positive Regulation Of Smooth Muscle Cell Proliferation (GO:0048661)	2/47	0.0013251264265467246	0.026424579917608215	0	0	42.18412698412698	279.52246208031653	JUN;STAT1
Interferon-Mediated Signaling Pathway (GO:0140888)	2/49	0.0014395683109597462	0.027111869856408552	0	0	40.38500506585613	264.25572654159276	STAT1;IRF1
Actin Cytoskeleton Reorganization (GO:0031532)	2/53	0.001682135580176126	0.030012840088405615	0	0	37.21008403361345	237.68652313844638	PTPN1;SIPA1L1
Negative Regulation Of Intrinsic Apoptotic Signaling Pathway (GO:2001243)	2/61	0.002221453123983148	0.03665491004053556	0	0	32.15173527037934	196.43404043761672	PTPN1;HERPUD1
Negative Regulation Of Intracellular Signal Transduction (GO:1902532)	3/231	0.0022706581441039727	0.03665491004053556	0	0	12.992763157894737	79.09585663726581	STAT1;BANK1;HERPUD1
Positive Regulation Of Type I Interferon Production (GO:0032481)	2/64	0.0024421209821295967	0.037630864224633326	0	0	30.591397849462364	184.00384291088966	STAT1;IRF1
Cellular Response To Type II Interferon (GO:0071346)	2/66	0.002594763239101084	0.03824455382848989	0	0	29.632440476190474	176.43925514435907	STAT1;IRF1
Positive Regulation Of Apoptotic Process (GO:0043065)	3/270	0.0035282231992671675	0.048848297084463685	0	0	11.073033707865168	62.52898814621467	JUN;BTG1;GADD45B
Regulation Of Innate Immune Response (GO:0045088)	2/78	0.0036023817908896524	0.048848297084463685	0	0	24.93859649122807	140.3085351250561	PTPN1;IRF1
Positive Regulation Of Cell Differentiation (GO:0045597)	3/283	0.0040255463152474875	0.052306329684933706	0	0	10.551964285714286	58.195081745640834	BTG1;ZEB1;ACTB
Regulation Of Vesicle-Mediated Transport (GO:0060627)	2/89	0.004661717237599083	0.052306329684933706	0	0	21.773399014778324	116.88769239503544	PTPN1;VAMP2
Negative Regulation Of DNA-templated Transcription (GO:0045892)	5/1025	0.005440263096182074	0.052306329684933706	0	0	5.162581699346405	26.91732853117541	JUN;ZEB1;STAT1;IRF1;BACH2
Mesenchymal Cell Differentiation Involved In Kidney Development (GO:0072161)	1/5	0.005737289113328647	0.052306329684933706	0	0	226.9659090909091	1171.3185051583378	STAT1
Natural Killer Cell Degranulation (GO:0043320)	1/5	0.005737289113328647	0.052306329684933706	0	0	226.9659090909091	1171.3185051583378	VAMP2
Negative Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0097201)	1/5	0.005737289113328647	0.052306329684933706	0	0	226.9659090909091	1171.3185051583378	JUN
Negative Regulation Of PERK-mediated Unfolded Protein Response (GO:1903898)	1/5	0.005737289113328647	0.052306329684933706	0	0	226.9659090909091	1171.3185051583378	PTPN1
Interleukin-27-Mediated Signaling Pathway (GO:0070106)	1/5	0.005737289113328647	0.052306329684933706	0	0	226.9659090909091	1171.3185051583378	STAT1
Neutrophil Degranulation (GO:0043312)	1/5	0.005737289113328647	0.052306329684933706	0	0	226.9659090909091	1171.3185051583378	VAMP2
Macrophage Derived Foam Cell Differentiation (GO:0010742)	1/6	0.006880968324420164	0.052306329684933706	0	0	181.56363636363636	904.0045996114618	STAT1
IRE1-mediated Unfolded Protein Response (GO:0036498)	1/6	0.006880968324420164	0.052306329684933706	0	0	181.56363636363636	904.0045996114618	PTPN1
Cellular Response To Interleukin-9 (GO:0071355)	1/6	0.006880968324420164	0.052306329684933706	0	0	181.56363636363636	904.0045996114618	STAT1
Regulation Of Histamine Secretion By Mast Cell (GO:1903593)	1/6	0.006880968324420164	0.052306329684933706	0	0	181.56363636363636	904.0045996114618	VAMP2
Positive Regulation Of ER-associated Ubiquitin-Dependent Protein Catabolic Process (GO:1903071)	1/6	0.006880968324420164	0.052306329684933706	0	0	181.56363636363636	904.0045996114618	HERPUD1
Positive Regulation Of IRE1-mediated Unfolded Protein Response (GO:1903896)	1/6	0.006880968324420164	0.052306329684933706	0	0	181.56363636363636	904.0045996114618	PTPN1
Positive Regulation Of Receptor Catabolic Process (GO:2000646)	1/6	0.006880968324420164	0.052306329684933706	0	0	181.56363636363636	904.0045996114618	PTPN1
Regulation Of T-helper Cell Differentiation (GO:0045622)	1/6	0.006880968324420164	0.052306329684933706	0	0	181.56363636363636	904.0045996114618	JUNB
Interleukin-9-Mediated Signaling Pathway (GO:0038113)	1/6	0.006880968324420164	0.052306329684933706	0	0	181.56363636363636	904.0045996114618	STAT1
Positive Regulation Of Fibroblast Apoptotic Process (GO:2000271)	1/6	0.006880968324420164	0.052306329684933706	0	0	181.56363636363636	904.0045996114618	BTG1
Response To Endoplasmic Reticulum Stress (GO:0034976)	2/114	0.007535161797590557	0.052306329684933706	0	0	16.892006802721088	82.57108491924915	JUN;HERPUD1
Regulation Of Apoptotic Process (GO:0042981)	4/705	0.007945109857570477	0.052306329684933706	0	0	5.789023199939935	27.991077171764136	JUN;GADD45B;STAT1;ACTB
Peptidyl-Tyrosine Dephosphorylation Involved In Inactivation Of Protein Kinase Activity (GO:1990264)	1/7	0.008023389804178622	0.052306329684933706	0	0	151.29545454545453	730.0602205833903	PTPN1
Foam Cell Differentiation (GO:0090077)	1/7	0.008023389804178622	0.052306329684933706	0	0	151.29545454545453	730.0602205833903	STAT1
Regulation Of Stem Cell Division (GO:2000035)	1/7	0.008023389804178622	0.052306329684933706	0	0	151.29545454545453	730.0602205833903	NCOA3
Growth Hormone Receptor Signaling Pathway Via JAK-STAT (GO:0060397)	1/7	0.008023389804178622	0.052306329684933706	0	0	151.29545454545453	730.0602205833903	PTPN1
Negative Regulation Of T Cell Apoptotic Process (GO:0070233)	1/7	0.008023389804178622	0.052306329684933706	0	0	151.29545454545453	730.0602205833903	TSC22D3
Regulation Of Alpha-Beta T Cell Proliferation (GO:0046640)	1/7	0.008023389804178622	0.052306329684933706	0	0	151.29545454545453	730.0602205833903	IRF1
