Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Macromolecule Biosynthetic Process (GO:0009059)	6/183	8.381546286439177E-7	3.2017506814197656E-4	0	0	22.35819209039548	312.8372374916623	RPL4;EEF1A1;EEF1D;RPLP0;RPS4Y1;EEF2
Translation (GO:0006412)	6/234	3.493204030571304E-6	6.67201969839119E-4	0	0	17.312280701754386	217.52346068357875	RPL4;EEF1A1;EEF1D;RPLP0;RPS4Y1;EEF2
Cellular Response To Epidermal Growth Factor Stimulus (GO:0071364)	3/27	1.5206266687989761E-5	0.0019362646249373628	0	0	75.53030303030303	837.9182972858675	EEF1A1;ZFP36;ZFP36L1
Response To Epidermal Growth Factor (GO:0070849)	3/30	2.1028698361956374E-5	0.001998686210945372	0	0	67.12794612794613	722.9426366158579	EEF1A1;ZFP36;ZFP36L1
Negative Regulation Of Erythrocyte Differentiation (GO:0045647)	2/5	3.1392977135267624E-5	0.001998686210945372	0	0	391.3921568627451	4058.3164477642435	ZFP36;ZFP36L1
Regulation Of Keratinocyte Apoptotic Process (GO:1902172)	2/5	3.1392977135267624E-5	0.001998686210945372	0	0	391.3921568627451	4058.3164477642435	ZFP36;ZFP36L1
Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Independent Decay (GO:0031086)	2/6	4.70362917222177E-5	0.00256683763398388	0	0	293.52941176470586	2924.900561099222	ZFP36;ZFP36L1
Translational Elongation (GO:0006414)	3/42	5.8585124510145164E-5	0.0027974396953594316	0	0	46.44522144522144	452.6100643368325	EEF1A1;EEF1D;EEF2
p38MAPK Cascade (GO:0038066)	2/8	8.760274454585359E-5	0.0037182498240573413	0	0	195.66666666666666	1828.0546203524366	ZFP36;ZFP36L1
Regulation Of Epithelial Cell Apoptotic Process (GO:1904035)	2/11	1.714937660463913E-4	0.005773590532365448	0	0	130.4248366013072	1130.9090161319034	ZFP36;ZFP36L1
Gene Expression (GO:0010467)	5/296	1.7766468556234698E-4	0.005773590532365448	0	0	10.904001773639287	94.1627348147401	RPL4;RBM3;EEF1A1;RPLP0;RPS4Y1
Peptide Biosynthetic Process (GO:0043043)	4/158	1.8136933609524969E-4	0.005773590532365448	0	0	16.079545454545453	138.52488330568036	RPL4;EEF1A1;RPLP0;RPS4Y1
Cellular Response To Cytokine Stimulus (GO:0071345)	5/308	2.1366292255516707E-4	0.006278402801236448	0	0	10.465772383689982	88.44740320486004	ZFP36;IRF1;CXCR4;GAPDH;ZFP36L1
Positive Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900153)	2/14	2.82782621321006E-4	0.007323583234517852	0	0	97.80392156862744	799.139419708988	ZFP36;ZFP36L1
Regulation Of mRNA Stability (GO:0043488)	3/74	3.179926173270372E-4	0.007323583234517852	0	0	25.471190781049938	205.1317864433363	ZFP36;CIRBP;ZFP36L1
3'-UTR-mediated mRNA Destabilization (GO:0061158)	2/15	3.259186256199044E-4	0.007323583234517852	0	0	90.27601809954751	724.8137654755144	ZFP36;ZFP36L1
Cellular Response To Corticosteroid Stimulus (GO:0071384)	2/15	3.259186256199044E-4	0.007323583234517852	0	0	90.27601809954751	724.8137654755144	ZFP36;ZFP36L1
Cellular Response To Glucocorticoid Stimulus (GO:0071385)	2/17	4.2118795951153783E-4	0.008299494530368651	0	0	78.23137254901961	608.0479736697338	ZFP36;ZFP36L1
Regulation Of Translation (GO:0006417)	4/202	4.6191663259381125E-4	0.008299494530368651	0	0	12.478535353535353	95.83672545897748	RBM3;CIRBP;EEF2;GAPDH
Regulation Of Epidermal Cell Differentiation (GO:0045604)	2/18	4.7330062752558495E-4	0.008299494530368651	0	0	73.33823529411765	561.461379980425	ZFP36;ZFP36L1
Positive Regulation Of Amide Metabolic Process (GO:0034250)	3/85	4.779813603877234E-4	0.008299494530368651	0	0	22.042128603104214	168.53276678919298	RBM3;CIRBP;EEF2
Nuclear-Transcribed mRNA Catabolic Process (GO:0000956)	3/85	4.779813603877234E-4	0.008299494530368651	0	0	22.042128603104214	168.53276678919298	ZFP36;CNOT6L;ZFP36L1
Response To Fibroblast Growth Factor (GO:0071774)	2/20	5.86430503116779E-4	0.0093340188412754	0	0	65.18300653594771	485.05650058138406	ZFP36;ZFP36L1
Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0000289)	2/20	5.86430503116779E-4	0.0093340188412754	0	0	65.18300653594771	485.05650058138406	ZFP36;CNOT6L
Regulation Of mRNA Splicing, Via Spliceosome (GO:0048024)	3/94	6.415225024258714E-4	0.009802463837067314	0	0	19.853146853146853	145.95371060365636	RBM3;RBFOX2;CIRBP
Negative Regulation Of Myeloid Cell Differentiation (GO:0045638)	2/22	7.113647786947809E-4	0.010251207654439114	0	0	58.65882352941176	425.1782293491763	ZFP36;ZFP36L1
Apoptotic Process (GO:0006915)	4/228	7.277192792502433E-4	0.010251207654439114	0	0	11.015625	79.59444700997449	IRF1;DDIT4;CXCR4;GAPDH
Positive Regulation Of mRNA Splicing, Via Spliceosome (GO:0048026)	2/23	7.782330418291474E-4	0.010251207654439114	0	0	55.86274509803921	399.8925970911249	RBM3;CIRBP
Regulation Of Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:1900151)	2/23	7.782330418291474E-4	0.010251207654439114	0	0	55.86274509803921	399.8925970911249	ZFP36;ZFP36L1
Regulation Of Keratinocyte Proliferation (GO:0010837)	2/25	9.207209919278047E-4	0.011533163693616766	0	0	51.0	356.5080289062332	ZFP36;ZFP36L1
Positive Regulation Of Translation (GO:0045727)	3/108	9.603520787532631E-4	0.011533163693616766	0	0	17.193939393939395	119.46711181581095	RBM3;CIRBP;EEF2
Regulation Of Keratinocyte Differentiation (GO:0045616)	2/26	9.963204237941185E-4	0.011533163693616766	0	0	48.872549019607845	337.7797704194284	ZFP36;ZFP36L1
Response To Glucocorticoid (GO:0051384)	2/26	9.963204237941185E-4	0.011533163693616766	0	0	48.872549019607845	337.7797704194284	ZFP36;ZFP36L1
Positive Regulation Of mRNA Processing (GO:0050685)	2/28	0.0011561797520880848	0.012990019567577893	0	0	45.10859728506787	305.05293486216044	RBM3;CIRBP
Response To Interferon-Beta (GO:0035456)	2/29	0.0012404195444664348	0.013538293313890804	0	0	43.43572984749456	290.6851787186678	IFITM1;IRF1
Positive Regulation Of Macromolecule Biosynthetic Process (GO:0010557)	3/122	0.0013650609379376336	0.014484813285893778	0	0	15.16042780748663	100.00661417189713	RBM3;CIRBP;EEF2
Positive Regulation Of Gene Expression (GO:0010628)	5/480	0.0015907408928547433	0.01642332489379762	0	0	6.617657045840407	42.64123979923782	RBM3;CIRBP;CD3E;EEF2;GAPDH
Regulation Of Erythrocyte Differentiation (GO:0045646)	2/36	0.001909622038314754	0.018704503041954774	0	0	34.48096885813149	215.88017188259246	ZFP36;ZFP36L1
Positive Regulation Of RNA Splicing (GO:0033120)	2/36	0.001909622038314754	0.018704503041954774	0	0	34.48096885813149	215.88017188259246	RBM3;CIRBP
RNA Transport (GO:0050658)	2/39	0.002238480580364982	0.020856087358522513	0	0	31.680445151033386	193.31274432661914	ZFP36;ZFP36L1
Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:0000288)	2/39	0.002238480580364982	0.020856087358522513	0	0	31.680445151033386	193.31274432661914	ZFP36;CNOT6L
Defense Response To Symbiont (GO:0140546)	3/148	0.002370595908328643	0.021561134213846228	0	0	12.425705329153605	75.10859136520628	IFITM1;IRF1;DDIT4
