Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Integrated Stress Response Signaling (GO:0140467)	3/29	9.86952796370111E-7	1.9146884249580153E-4	0	0	209.37062937062936	2895.311818902405	JUN;FOS;JUNB
Negative Regulation Of Execution Phase Of Apoptosis (GO:1900118)	2/19	7.727815668657218E-5	0.0034499005555489997	0	0	195.77450980392157	1853.6124837160314	MTRNR2L12;MTRNR2L8
Response To Cadmium Ion (GO:0046686)	2/21	9.482727286527288E-5	0.0034499005555489997	0	0	175.14912280701753	1622.4857549732908	JUN;FOS
Cellular Response To Metal Ion (GO:0071248)	3/135	1.0367501620911302E-4	0.0034499005555489997	0	0	41.02066115702479	376.33377582228735	JUN;PLCG2;FOS
Cellular Response To Cadmium Ion (GO:0071276)	2/22	1.0426836797847276E-4	0.0034499005555489997	0	0	166.38333333333333	1525.49266647988	JUN;FOS
Regulation Of Cell Population Proliferation (GO:0042127)	5/766	1.2202961881222841E-4	0.0034499005555489997	0	0	14.034895605197839	126.47190762713174	JUN;IFITM1;CNOT6L;RBFOX2;JUNB
Regulation Of Execution Phase Of Apoptosis (GO:1900117)	2/24	1.24480947880634E-4	0.0034499005555489997	0	0	151.24242424242425	1359.8747634320841	MTRNR2L12;MTRNR2L8
Positive Regulation Of miRNA Transcription (GO:1902895)	2/43	4.041897176269234E-4	0.009801600652452893	0	0	81.07723577235772	633.5072130174765	JUN;FOS
Positive Regulation Of miRNA Metabolic Process (GO:2000630)	2/49	5.251261040087869E-4	0.011036239465003215	0	0	70.70567375886525	533.9602068169509	JUN;FOS
SMAD Protein Signal Transduction (GO:0060395)	2/51	5.688783229383101E-4	0.011036239465003215	0	0	67.81292517006803	506.6875974033785	JUN;FOS
Regulation Of miRNA Transcription (GO:1902893)	2/59	7.609758027855225E-4	0.013420845976399216	0	0	58.271929824561404	418.44542516201636	JUN;FOS
Response To Reactive Oxygen Species (GO:0000302)	2/66	9.51334658661269E-4	0.015032356515995087	0	0	51.880208333333336	360.9640542350765	JUN;FOS
Regulation Of Cell Cycle (GO:0051726)	3/298	0.0010552860254282048	0.015032356515995087	0	0	18.204314329738057	124.77134068259396	JUN;GADD45B;JUNB
Transforming Growth Factor Beta Receptor Signaling Pathway (GO:0007179)	2/72	0.0011309036960398487	0.015032356515995087	0	0	47.41904761904762	321.7258254417712	JUN;FOS
Cellular Response To Reactive Oxygen Species (GO:0034614)	2/73	0.0011622956069068367	0.015032356515995087	0	0	46.748826291079816	315.89856738875534	JUN;FOS
Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)	2/96	0.0019983199495877393	0.02422962938875134	0	0	35.269503546099294	219.21578208770606	JUN;FOS
Cellular Response To Oxygen-Containing Compound (GO:1901701)	3/406	0.0025588054671145375	0.029200485918836488	0	0	13.25265057523122	79.09466455749045	JUN;PLCG2;FOS
Cellular Response To Oxidative Stress (GO:0034599)	2/117	0.0029489727442681963	0.03178337291044612	0	0	28.798550724637682	167.7889497660956	JUN;FOS
Positive Regulation Of Transcription By RNA Polymerase II (GO:0045944)	4/938	0.0032983375124779482	0.03196568914941505	0	0	8.159314775160599	46.62507204237866	JUN;FOS;JUNB;IER2
Positive Regulation Of I-kappaB Phosphorylation (GO:1903721)	1/5	0.0034953988931204698	0.03196568914941505	0	0	384.2692307692308	2173.5450385769154	PLCG2
Negative Regulation Of Transcription From RNA Polymerase II Promoter In Response To Stress (GO:0097201)	1/5	0.0034953988931204698	0.03196568914941505	0	0	384.2692307692308	2173.5450385769154	JUN
Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway (GO:0007178)	2/130	0.003624975058181088	0.03196568914941505	0	0	25.856770833333332	145.31266993008884	JUN;FOS
Positive Regulation Of Interleukin-23 Production (GO:0032747)	1/6	0.004193119798694676	0.03253860963787068	0	0	307.4	1682.8029678019434	PLCG2
Regulation Of I-kappaB Phosphorylation (GO:1903719)	1/6	0.004193119798694676	0.03253860963787068	0	0	307.4	1682.8029678019434	PLCG2
Regulation Of T-helper Cell Differentiation (GO:0045622)	1/6	0.004193119798694676	0.03253860963787068	0	0	307.4	1682.8029678019434	JUNB
Positive Regulation Of Macrophage Cytokine Production (GO:0060907)	1/8	0.0055872022837974	0.03613057476855652	0	0	219.54945054945054	1138.8637280375192	PLCG2
Positive Regulation Of Membrane Invagination (GO:1905155)	1/8	0.0055872022837974	0.03613057476855652	0	0	219.54945054945054	1138.8637280375192	PLCG2
Regulation Of Interleukin-23 Production (GO:0032667)	1/8	0.0055872022837974	0.03613057476855652	0	0	219.54945054945054	1138.8637280375192	PLCG2
Regulation Of DNA-templated Transcription Initiation (GO:2000142)	1/8	0.0055872022837974	0.03613057476855652	0	0	219.54945054945054	1138.8637280375192	JUN
Positive Regulation Of Dendritic Cell Cytokine Production (GO:0002732)	1/8	0.0055872022837974	0.03613057476855652	0	0	219.54945054945054	1138.8637280375192	PLCG2
Positive Regulation Of Phagocytosis, Engulfment (GO:0060100)	1/9	0.006283564258093123	0.03932295051838922	0	0	192.09615384615384	973.8925197668605	PLCG2
Regulation Of Phagocytosis, Engulfment (GO:0060099)	1/10	0.006979473680213335	0.04231305918629334	0	0	170.74358974358975	847.7046615380154	PLCG2
Macrophage Activation Involved In Immune Response (GO:0002281)	1/11	0.007674930787541144	0.04273072498059979	0	0	153.66153846153847	748.3003458854362	PLCG2
Regulation Of T-helper 17 Cell Differentiation (GO:2000319)	1/11	0.007674930787541144	0.04273072498059979	0	0	153.66153846153847	748.3003458854362	JUNB
Positive Regulation Of Neuroinflammatory Response (GO:0150078)	1/12	0.008369935820942226	0.04273072498059979	0	0	139.6853146853147	668.1300945358273	PLCG2
Negative Regulation By Host Of Viral Transcription (GO:0043922)	1/12	0.008369935820942226	0.04273072498059979	0	0	139.6853146853147	668.1300945358273	JUN
Positive Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903428)	1/12	0.008369935820942226	0.04273072498059979	0	0	139.6853146853147	668.1300945358273	PLCG2
Positive Regulation Of Calcium-Mediated Signaling (GO:0050850)	1/12	0.008369935820942226	0.04273072498059979	0	0	139.6853146853147	668.1300945358273	PLCG2
Positive Regulation Of DNA-templated Transcription (GO:0045893)	4/1243	0.00898805454644728	0.04289050905881513	0	0	6.052300242130751	28.517584494264053	JUN;FOS;JUNB;IER2
Regulation Of Macrophage Cytokine Production (GO:0010935)	1/13	0.009064489027893918	0.04289050905881513	0	0	128.03846153846155	602.2149225510485	PLCG2
Regulation Of T-helper 17 Type Immune Response (GO:2000316)	1/13	0.009064489027893918	0.04289050905881513	0	0	128.03846153846155	602.2149225510485	JUNB
DNA Alkylation (GO:0006305)	1/15	0.0104522409709381	0.04353651550966267	0	0	109.73626373626374	500.5003914455875	FOS
Positive Regulation Of Myeloid Leukocyte Cytokine Production Involved In Immune Response (GO:0061081)	1/16	0.011145440218903038	0.04353651550966267	0	0	102.41538461538461	460.53380130419424	PLCG2
Positive Regulation By Host Of Viral Transcription (GO:0043923)	1/16	0.011145440218903038	0.04353651550966267	0	0	102.41538461538461	460.53380130419424	JUN
Antifungal Innate Immune Response (GO:0061760)	1/16	0.011145440218903038	0.04353651550966267	0	0	102.41538461538461	460.53380130419424	PLCG2
Myeloid Cell Activation Involved In Immune Response (GO:0002275)	1/17	0.01183818865932929	0.04353651550966267	0	0	96.00961538461539	425.93942395331476	PLCG2
Response To Interferon-Alpha (GO:0035455)	1/17	0.01183818865932929	0.04353651550966267	0	0	96.00961538461539	425.93942395331476	IFITM1
Positive Regulation Of Cell Cycle Phase Transition (GO:1901989)	1/17	0.01183818865932929	0.04353651550966267	0	0	96.00961538461539	425.93942395331476	PLCG2
Intracellular Estrogen Receptor Signaling Pathway (GO:0030520)	1/17	0.01183818865932929	0.04353651550966267	0	0	96.00961538461539	425.93942395331476	RBFOX2
Positive Regulation Of Programmed Cell Death (GO:0043068)	2/245	0.012342315130509358	0.04353651550966267	0	0	13.541152263374485	59.50959523755883	JUN;GADD45B
Positive Regulation Of NLRP3 Inflammasome Complex Assembly (GO:1900227)	1/18	0.01253048655713669	0.04353651550966267	0	0	90.35746606334841	395.7287161899813	PLCG2
Response To Axon Injury (GO:0048678)	1/18	0.01253048655713669	0.04353651550966267	0	0	90.35746606334841	395.7287161899813	PLCG2
Negative Regulation Of Viral Entry Into Host Cell (GO:0046597)	1/18	0.01253048655713669	0.04353651550966267	0	0	90.35746606334841	395.7287161899813	IFITM1
Stimulatory C-type Lectin Receptor Signaling Pathway (GO:0002223)	1/19	0.013222334171232074	0.04353651550966267	0	0	85.33333333333333	369.13902050225767	PLCG2
Cellular Response To Lectin (GO:1990858)	1/19	0.013222334171232074	0.04353651550966267	0	0	85.33333333333333	369.13902050225767	PLCG2
Regulation Of Neuroinflammatory Response (GO:0150077)	1/19	0.013222334171232074	0.04353651550966267	0	0	85.33333333333333	369.13902050225767	PLCG2
DNA Methylation (GO:0006306)	1/20	0.013913731760820029	0.04353651550966267	0	0	80.83805668016194	345.57291333057793	FOS
Response To Fibroblast Growth Factor (GO:0071774)	1/20	0.013913731760820029	0.04353651550966267	0	0	80.83805668016194	345.57291333057793	IER2
Negative Regulation Of Viral Life Cycle (GO:1903901)	1/20	0.013913731760820029	0.04353651550966267	0	0	80.83805668016194	345.57291333057793	IFITM1
Positive Regulation Of Vascular Associated Smooth Muscle Cell Proliferation (GO:1904707)	1/20	0.013913731760820029	0.04353651550966267	0	0	80.83805668016194	345.57291333057793	JUN
Nuclear-Transcribed mRNA poly(A) Tail Shortening (GO:0000289)	1/20	0.013913731760820029	0.04353651550966267	0	0	80.83805668016194	345.57291333057793	CNOT6L
Lipopolysaccharide-Mediated Signaling Pathway (GO:0031663)	1/20	0.013913731760820029	0.04353651550966267	0	0	80.83805668016194	345.57291333057793	PLCG2
Positive Regulation Of Apoptotic Process (GO:0043065)	2/270	0.014846638603882524	0.045718220462749364	0	0	12.262437810945274	51.62463995862327	JUN;GADD45B
Fc-epsilon Receptor Signaling Pathway (GO:0038095)	1/22	0.01529517792933681	0.046363508098302204	0	0	73.13186813186813	305.7071272789262	PLCG2
Cell-Cell Signaling By Wnt (GO:0198738)	1/23	0.015985227036696047	0.04770975454029282	0	0	69.8041958041958	288.7164567086745	PLCG2
Positive Regulation Of p38MAPK Cascade (GO:1900745)	1/24	0.016674827177981324	0.04901388594739965	0	0	66.76588628762542	273.32986083800455	GADD45B
Positive Regulation Of Interleukin-2 Production (GO:0032743)	1/25	0.017363978615388416	0.05027778882664705	0	0	63.98076923076923	259.3369252570107	PLCG2
Regulation Of Reactive Oxygen Species Biosynthetic Process (GO:1903426)	1/26	0.01805268161758667	0.05075681498277992	0	0	61.418461538461536	246.562020931719	PLCG2
Fc Receptor Signaling Pathway (GO:0038093)	1/26	0.01805268161758667	0.05075681498277992	0	0	61.418461538461536	246.562020931719	PLCG2
Cell Surface Receptor Signaling Pathway Involved In Cell-Cell Signaling (GO:1905114)	1/27	0.018740936449241897	0.05193916673075611	0	0	59.053254437869825	234.8574522333829	PLCG2
Negative Regulation Of DNA Binding (GO:0043392)	1/29	0.02011610266484507	0.05241278997659691	0	0	54.82967032967033	214.17755847607222	JUN
Response To Interferon-Beta (GO:0035456)	1/29	0.02011610266484507	0.05241278997659691	0	0	54.82967032967033	214.17755847607222	IFITM1
Defense Response To Fungus (GO:0050832)	1/29	0.02011610266484507	0.05241278997659691	0	0	54.82967032967033	214.17755847607222	PLCG2
Positive Regulation Of Interleukin-10 Production (GO:0032733)	1/30	0.02080301457834001	0.05241278997659691	0	0	52.93633952254642	205.00430545239047	PLCG2
Innate Immune Response Activating Cell Surface Receptor Signaling Pathway (GO:0002220)	1/30	0.02080301457834001	0.05241278997659691	0	0	52.93633952254642	205.00430545239047	PLCG2
Regulation Of Calcium-Mediated Signaling (GO:0050848)	1/30	0.02080301457834001	0.05241278997659691	0	0	52.93633952254642	205.00430545239047	PLCG2
Nucleic Acid Metabolic Process (GO:0090304)	1/30	0.02080301457834001	0.05241278997659691	0	0	52.93633952254642	205.00430545239047	RBFOX2
Toll-Like Receptor Signaling Pathway (GO:0002224)	1/31	0.02148947938555657	0.053448192317922756	0	0	51.16923076923077	196.4996601316088	PLCG2
